veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,split
0.9,0.654713786,0,0,0,HBACK,3,M,A,5,T
1.77,0.926843225,0,0,0,UTE,4,F,A,2,T
1.61,0.032923493,0,0,0,PANVN,3,M,A,4,T
2.34,0.691262489,0,0,0,SEDAN,2,M,A,2,T
2.1,0.915960394,0,0,0,PANVN,1,M,A,3,T
1.43,0.200824228,0,0,0,HBACK,3,M,A,3,T
1.83,0.338306178,0,0,0,HDTOP,3,F,A,2,T
1.17,0.787066559,0,0,0,COUPE,4,M,A,3,T
0.79,0.603591769,0,0,0,SEDAN,4,M,A,2,T
1.91,0.396948997,0,0,0,SEDAN,2,M,A,4,T
1.04,0.34110257,0,0,0,SEDAN,4,F,A,2,T
1.6,0.626135528,0,0,0,HBACK,3,F,A,6,T
1.35,0.501347309,0,0,0,HBACK,2,M,A,4,T
3.98,0.084644992,0,0,0,STNWG,2,M,A,5,T
1.46,0.102192907,0,0,0,SEDAN,3,F,A,6,T
1.5,0.02888356,0,0,0,SEDAN,2,F,A,4,T
5.4,0.999330049,0,0,0,STNWG,1,M,A,2,T
2.69,0.314179163,0,0,0,STNWG,3,F,A,5,T
1.02,0.954157271,0,0,0,SEDAN,4,F,A,2,T
1.61,0.011135994,0,0,0,HBACK,3,F,A,4,T
1.73,0.661432604,0,0,0,SEDAN,3,F,A,5,T
1.72,0.01874049,0,0,0,STNWG,3,F,A,4,T
1.55,0.657416873,0,0,0,HBACK,1,F,A,6,T
2.19,0.974800092,0,0,0,SEDAN,2,F,A,4,T
0.87,0.031098804,0,0,0,SEDAN,4,F,A,3,T
1.25,0.811364263,0,0,0,STNWG,3,F,A,2,T
0.83,0.935651747,0,0,0,SEDAN,4,F,A,3,T
0.97,0.364717426,0,0,0,STNWG,4,F,A,3,T
1.52,0.221472081,0,0,0,HBACK,1,F,A,1,T
1.27,0.999335102,0,0,0,HBACK,3,M,A,4,T
0.86,0.685296617,0,0,0,TRUCK,4,M,A,6,T
1.06,0.282686041,0,0,0,HBACK,2,F,A,4,T
1.71,0.274928166,0,0,0,HBACK,3,F,A,3,T
5.92,0.247696543,0,0,0,STNWG,1,F,A,3,T
2.21,0.283713121,0,0,0,SEDAN,1,F,A,4,T
1.58,0.917483777,0,0,0,STNWG,4,M,A,5,T
3.49,0.300272548,0,0,0,STNWG,2,M,A,3,T
1.08,0.432797032,0,0,0,UTE,4,M,A,3,T
0.89,0.999324415,0,0,0,SEDAN,4,M,A,6,T
0.8,0.993882872,0,0,0,SEDAN,4,F,A,5,T
0.83,0.980476899,0,0,0,HBACK,4,F,A,4,T
1.71,0.02339708,0,0,0,SEDAN,2,F,A,3,T
0.96,0.219591697,0,0,0,HBACK,3,M,A,2,T
0.84,0.032050696,0,0,0,SEDAN,4,M,A,6,T
1.06,0.894149179,0,0,0,SEDAN,3,F,A,3,T
0.47,0.779306806,0,0,0,SEDAN,4,F,A,4,T
1.7,0.711431028,0,0,0,HBACK,2,F,A,3,T
4.88,0.956199769,0,0,0,STNWG,2,F,A,3,T
1.26,0.285685397,0,0,0,SEDAN,3,F,A,3,T
2.43,0.049476985,0,0,0,STNWG,3,M,A,4,T
4.24,0.961896607,0,0,0,STNWG,1,M,A,4,T
2.63,0.271422891,0,0,0,HBACK,1,F,A,2,T
0.85,0.017738527,0,0,0,SEDAN,4,M,A,2,T
2.29,0.96475646,0,0,0,HBACK,1,F,A,6,T
0.37,0.821128357,0,0,0,HBACK,4,F,A,6,T
0.73,0.267453751,0,0,0,COUPE,4,M,A,5,T
3.9,0.65618424,0,0,0,SEDAN,1,F,A,5,T
1.46,0.999321738,0,0,0,SEDAN,3,M,A,5,T
2.25,0.410292074,0,0,0,SEDAN,2,F,A,4,T
1.62,0.365664171,0,0,0,SEDAN,3,M,A,6,T
3.16,0.575133886,0,0,0,STNWG,2,F,A,3,T
0.94,0.887579053,0,0,0,HBACK,3,F,A,4,T
0.77,0.183348294,0,0,0,HBACK,3,F,A,3,T
1.57,0.02118467,0,0,0,HDTOP,3,F,A,5,T
2.65,0.57333497,0,0,0,SEDAN,1,M,A,5,T
1.21,0.406573201,0,0,0,SEDAN,3,F,A,4,T
0.77,0.222673263,0,0,0,HBACK,3,F,A,5,T
1.87,0.846930667,0,0,0,HBACK,2,F,A,2,T
0.5,0.633537353,0,0,0,SEDAN,4,M,A,3,T
1.67,0.341043173,0,0,0,SEDAN,2,M,A,4,T
1.64,0.347104058,0,0,0,TRUCK,1,M,A,5,T
1.33,0.924922312,0,0,0,HBACK,2,F,A,4,T
5.44,0.928925015,0,0,0,STNWG,2,F,A,3,T
2.56,0.6797372,0,0,0,UTE,3,M,A,5,T
1.34,0.741696008,0,0,0,UTE,4,M,A,2,T
6.2,0.277662269,0,0,0,SEDAN,2,M,A,4,T
0.94,0.535577388,0,0,0,HBACK,3,F,A,2,T
2.9,0.303829911,0,0,0,STNWG,1,M,A,5,T
1.38,0.177942936,0,0,0,COUPE,3,F,A,5,T
0.9,0.689238094,0,0,0,SEDAN,3,F,A,3,T
1.34,0.575254147,0,0,0,HBACK,2,M,A,4,T
2.2,0.642360523,0,0,0,HBACK,1,M,A,4,T
3.32,0.052095679,0,0,0,STNWG,2,F,A,4,T
1.21,0.245663399,0,0,0,SEDAN,3,F,A,2,T
4.59,0.731797344,0,0,0,STNWG,1,M,A,6,T
1.72,0.61459678,0,0,0,STNWG,3,F,A,1,T
1.65,0.372962057,0,0,0,HBACK,1,F,A,3,T
1.38,0.9966224,0,0,0,HBACK,2,M,A,2,T
1.52,0.592641746,0,0,0,HBACK,1,M,A,2,T
0.42,0.238360985,0,0,0,COUPE,4,F,A,1,T
2.01,0.580401672,0,0,0,STNWG,2,F,A,5,T
1.54,0.959251375,0,0,0,SEDAN,3,M,A,3,T
1.98,0.78140209,0,0,0,HBACK,2,F,A,2,T
1.22,0.362618352,0,0,0,STNWG,3,F,A,3,T
2.23,0.617271866,0,0,0,HBACK,2,F,A,1,T
3.41,0.20256973,0,0,0,STNWG,1,M,A,3,T
1.08,0.217625415,0,0,0,SEDAN,3,F,A,3,T
1.36,0.080065314,0,0,0,HBACK,2,F,A,2,T
1.44,0.274350055,0,0,0,HBACK,1,F,A,1,T
2.3,0.724535062,0,0,0,SEDAN,1,F,A,3,T
6.01,0.284589735,0,0,0,STNWG,1,M,A,1,T
1.54,0.028598259,0,0,0,HBACK,2,F,A,3,T
1.61,0.356669254,0,0,0,HBACK,1,F,A,5,T
0.76,0.121404055,0,0,0,HBACK,3,M,A,2,T
1.95,0.394633961,0,0,0,HBACK,2,F,A,3,T
0.31,0.700619539,0,0,0,SEDAN,4,F,A,6,T
2.65,0.444511754,0,0,0,SEDAN,1,M,A,3,T
1.06,0.952776694,0,0,0,HBACK,2,F,A,6,T
1.67,0.70694279,0,0,0,SEDAN,3,M,A,3,T
1.23,0.701070088,0,0,0,SEDAN,3,F,A,4,T
0.36,0.270422139,0,0,0,COUPE,4,F,A,4,T
3.22,0.667505037,0,0,0,STNWG,1,F,A,2,T
1.33,0.375565362,0,0,0,MIBUS,4,F,A,3,T
0.48,0.186975292,0,0,0,HBACK,4,M,A,4,T
3,0.999317192,0,0,0,STNWG,1,F,A,3,T
1.63,0.195171735,0,0,0,SEDAN,2,M,A,3,T
1.37,0.986075123,0,0,0,HBACK,2,F,A,3,T
1.61,0.402978443,0,0,0,SEDAN,2,M,A,3,T
2.04,0.775473925,0,0,0,STNWG,2,M,A,3,T
2.18,0.121997633,0,0,0,SEDAN,1,F,A,2,T
1.3,0.326068512,0,0,0,HBACK,1,F,A,5,T
2.31,0.136287403,0,0,0,HBACK,1,F,A,4,T
1.22,0.588125092,0,0,0,HBACK,2,M,A,5,T
1.46,0.667116973,0,0,0,SEDAN,3,M,A,5,T
0.58,0.059389453,0,0,0,HBACK,4,F,A,4,T
1.36,0.086683589,0,0,0,UTE,4,M,A,5,T
1.39,0.789729398,0,0,0,HDTOP,4,M,A,4,T
1.35,0.761917498,0,0,0,HBACK,2,M,A,3,T
2,0.996595401,0,0,0,STNWG,2,F,A,5,T
2.52,0.943043572,0,0,0,STNWG,3,F,A,5,T
6.2,0.922821261,0,0,0,SEDAN,2,F,A,2,T
1.03,0.072789337,0,0,0,HBACK,3,F,A,3,T
1.84,0.643338448,0,0,0,SEDAN,2,F,A,4,T
2.86,0.580011809,0,0,0,SEDAN,1,F,A,3,T
0.46,0.22628677,0,0,0,SEDAN,4,M,A,6,T
1.59,0.066069544,0,0,0,HDTOP,4,M,A,2,T
2.59,0.231266228,0,0,0,STNWG,3,M,A,4,T
1.24,0.581140536,0,0,0,HBACK,2,F,A,3,T
1.27,0.045532935,0,0,0,HBACK,1,F,A,4,T
2.71,0.44148318,0,0,0,STNWG,3,F,A,2,T
0.63,0.725702526,0,0,0,PANVN,4,F,A,3,T
2.06,0.353658027,0,0,0,MIBUS,3,M,A,4,T
1,0.093138763,0,0,0,HBACK,3,M,A,6,T
1.4,0.937274639,0,0,0,HBACK,1,M,A,3,T
1.51,0.454568571,0,0,0,UTE,2,F,A,2,T
0.89,0.971946311,0,0,0,SEDAN,4,F,A,4,T
1.66,0.640088783,0,0,0,HBACK,3,F,A,3,T
1,0.575629045,0,0,0,HBACK,3,F,A,5,T
3.44,0.782797917,0,0,0,STNWG,3,F,A,3,T
1.44,0.872213136,0,0,0,SEDAN,2,F,A,1,T
2.15,0.634560352,0,0,0,SEDAN,2,M,A,4,T
1.69,0.040632202,0,0,0,PANVN,2,M,A,1,T
1.22,0.362064976,0,0,0,SEDAN,3,F,A,3,T
3.61,0.047831392,0,0,0,STNWG,3,F,A,2,T
1.71,0.062886203,0,0,0,HBACK,2,M,A,6,T
2.1,0.731725195,0,0,0,HBACK,1,F,A,3,T
1.6,0.791163205,0,0,0,HBACK,1,F,A,3,T
3.03,0.256349259,0,0,0,STNWG,2,F,A,6,T
1.11,0.602489118,0,0,0,HBACK,4,F,A,3,T
1.07,0.877306403,0,0,0,HBACK,2,F,A,1,T
1.96,0.655731405,0,0,0,SEDAN,2,F,A,4,T
0.38,0.214291946,0,0,0,HBACK,4,M,A,3,T
0.67,0.560918557,0,0,0,SEDAN,4,M,A,2,T
1.51,0.35872308,0,0,0,STNWG,4,M,A,5,T
1.7,0.04024017,0,0,0,UTE,2,M,A,2,T
0.98,0.695751889,0,0,0,SEDAN,3,M,A,5,T
1.44,0.766670494,0,0,0,HBACK,3,F,A,3,T
3.04,0.568422405,0,0,0,SEDAN,1,F,A,4,T
1.74,0.315768423,0,0,0,SEDAN,3,M,A,2,T
3.16,0.726177443,0,0,0,STNWG,3,F,A,4,T
1.2,0.713998082,0,0,0,SEDAN,3,M,A,3,T
1.1,0.69382823,0,0,0,HBACK,2,F,A,5,T
3.24,0.069456935,0,0,0,STNWG,1,M,A,6,T
2.65,0.677605748,0,0,0,SEDAN,2,M,A,4,T
1.59,0.192859364,0,0,0,HBACK,1,F,A,2,T
2.45,0.954294538,0,0,0,SEDAN,2,F,A,5,T
1.89,0.716508364,0,0,0,STNWG,3,M,A,3,T
4.18,0.336674668,0,0,0,STNWG,2,M,A,3,T
0.88,0.536319744,0,0,0,HBACK,3,F,A,3,T
1.88,0.242536969,0,0,0,UTE,3,M,A,2,T
0.39,0.99932075,0,0,0,HBACK,4,F,A,4,T
1.33,0.248442516,0,0,0,SEDAN,3,F,A,5,T
0.93,0.462399115,0,0,0,HBACK,3,F,A,2,T
0.76,0.542715841,0,0,0,STNWG,4,M,A,5,T
1.85,0.800758195,0,0,0,HBACK,3,F,A,4,T
0.93,0.254160128,0,0,0,SEDAN,3,F,A,4,T
2.13,0.521200666,0,0,0,SEDAN,2,F,A,2,T
3.26,0.865556362,0,0,0,STNWG,2,F,A,2,T
1.19,0.291741728,0,0,0,SEDAN,3,M,A,3,T
2.62,0.972834853,0,0,0,HDTOP,1,M,A,3,T
1.56,0.705780265,0,0,0,HBACK,2,M,A,4,T
0.5,0.066462298,0,0,0,SEDAN,4,F,A,3,T
0.92,0.991107216,0,0,0,HBACK,3,F,A,3,T
1.54,0.253092859,0,0,0,HBACK,2,M,A,2,T
3.99,0.909137215,0,0,0,UTE,1,M,A,1,T
1.48,0.972229477,0,0,0,HBACK,3,F,A,3,T
4.59,0.678268225,0,0,0,SEDAN,4,M,A,3,T
0.84,0.15247494,0,0,0,HBACK,3,F,A,4,T
2.46,0.424284664,0,0,0,STNWG,3,M,A,2,T
0.81,0.962143742,0,0,0,SEDAN,3,M,A,6,T
0.78,0.961291315,0,0,0,SEDAN,4,M,A,3,T
2.97,0.426119425,0,0,0,STNWG,1,F,A,5,T
0.26,0.778615944,0,0,0,HBACK,4,F,A,5,T
1.9,0.389680576,0,0,0,STNWG,4,F,A,2,T
1.18,0.002950113,0,0,0,SEDAN,3,M,A,5,T
1.95,0.67850741,0,0,0,HBACK,2,F,A,6,T
1.18,0.617506743,0,0,0,HBACK,3,F,A,1,T
2.68,0.115221466,0,0,0,UTE,1,M,A,4,T
6.56,0.206287301,0,0,0,STNWG,1,F,A,4,T
1.25,0.292442169,0,0,0,SEDAN,4,F,A,3,T
2.2,0.288340811,0,0,0,SEDAN,2,F,A,4,T
1.15,0.012597024,0,0,0,HBACK,2,M,A,4,T
6.62,0.116372121,0,0,0,SEDAN,1,F,A,4,T
1.79,0.397731741,0,0,0,MCARA,4,M,A,5,T
0.94,0.296405679,0,0,0,HBACK,3,F,A,4,T
2.01,0.716317578,0,0,0,SEDAN,2,F,A,2,T
2.02,0.31765965,0,0,0,SEDAN,2,F,A,2,T
1.32,0.396471202,0,0,0,HBACK,2,M,A,4,T
1.4,0.999319761,0,0,0,STNWG,4,M,A,4,T
2.66,0.222949843,0,0,0,HBACK,1,M,A,3,T
0.83,0.277428602,0,0,0,HBACK,3,M,A,2,T
1.55,0.727151825,0,0,0,HBACK,2,F,A,6,T
1.14,0.703970546,0,0,0,HBACK,3,M,A,2,T
2.38,0.197596589,0,0,0,STNWG,3,F,A,3,T
1.26,0.974788402,0,0,0,STNWG,3,F,A,4,T
1.99,0.013334756,0,0,0,SEDAN,1,M,A,2,T
1.03,0.042134174,0,0,0,STNWG,3,F,A,3,T
4.77,0.28324023,0,0,0,UTE,1,M,A,1,T
2.01,0.195578274,0,0,0,HDTOP,2,M,A,5,T
1.19,0.665535586,0,0,0,STNWG,4,M,A,4,T
1.22,0.090385076,0,0,0,HBACK,3,F,A,3,T
0.4,0.320686315,0,0,0,SEDAN,4,F,A,2,T
1.51,0.804227198,0,0,0,UTE,4,M,A,3,T
1.74,0.62188577,0,0,0,TRUCK,1,M,A,4,T
1.69,0.599702708,0,0,0,HBACK,1,F,A,3,T
1.1,0.913392678,0,0,0,HBACK,2,M,A,1,T
3.8,0.151137262,0,0,0,STNWG,2,M,A,2,T
0.81,0.702718032,0,0,0,SEDAN,3,M,A,5,T
0.53,0.955693464,0,0,0,HBACK,4,F,A,6,T
1.92,0.956755462,0,0,0,SEDAN,2,F,A,4,T
1.25,0.99932507,0,0,0,HBACK,3,F,A,3,T
1.74,0.352696333,0,0,0,SEDAN,3,F,A,5,T
1.41,0.673449865,0,0,0,SEDAN,3,M,A,4,T
1.16,0.676006493,0,0,0,SEDAN,3,F,A,2,T
2.76,0.09327918,0,0,0,SEDAN,1,F,A,2,T
0.84,0.510214711,0,0,0,HBACK,3,F,A,2,T
1.69,0.580709488,0,0,0,MIBUS,4,F,A,4,T
2.48,0.32106368,0,0,0,SEDAN,2,F,A,3,T
1.93,0.9532344,0,0,0,STNWG,4,M,A,4,T
1.59,0.418036923,0,0,0,HBACK,2,F,A,5,T
1.62,0.999332094,0,0,0,SEDAN,2,M,A,1,T
1.32,0.716121799,0,0,0,HBACK,2,M,A,3,T
0.59,0.24934585,0,0,0,HBACK,4,F,A,6,T
0.95,0.354074994,0,0,0,HBACK,3,M,A,1,T
0.91,0.656812059,0,0,0,UTE,4,M,A,3,T
1.57,0.412584781,0,0,0,SEDAN,2,F,A,6,T
1.14,0.020072503,0,0,0,HBACK,4,M,A,3,T
0.95,0.430874227,0,0,0,HBACK,3,M,A,3,T
1.45,0.649988599,0,0,0,HBACK,1,F,A,5,T
1.34,0.248808866,0,0,0,HBACK,3,F,A,5,T
1.21,0.373817162,0,0,0,STNWG,4,M,A,2,T
2.73,0.914666841,0,0,0,STNWG,3,M,A,5,T
1.71,0.434650616,0,0,0,SEDAN,3,F,A,3,T
1.89,0.966598692,0,0,0,SEDAN,3,M,A,2,T
0.45,0.664975148,0,0,0,STNWG,4,M,A,6,T
1.34,0.317219723,0,0,0,HBACK,2,F,A,2,T
2.22,0.017640741,0,0,0,SEDAN,1,F,A,4,T
1.58,0.658547162,0,0,0,SEDAN,2,F,A,4,T
1.74,0.399808631,0,0,0,PANVN,2,F,A,5,T
0.92,0.66394054,0,0,0,SEDAN,3,F,A,1,T
2.11,0.356906706,0,0,0,STNWG,3,M,A,2,T
1.79,0.315240885,0,0,0,PANVN,3,M,A,3,T
0.75,0.691313719,0,0,0,HBACK,3,F,A,2,T
0.76,0.694587248,0,0,0,SEDAN,4,M,A,4,T
1.52,0.008713786,0,0,0,STNWG,4,M,A,2,T
1.84,0.305649321,0,0,0,SEDAN,3,M,A,4,T
1.39,0.359571874,0,0,0,HBACK,2,F,A,4,T
1.91,0.111593222,0,0,0,SEDAN,1,M,A,6,T
2.94,0.419040998,0,0,0,HDTOP,2,M,A,4,T
0.8,0.337295191,0,0,0,HBACK,4,M,A,6,T
1.75,0.303085035,0,0,0,TRUCK,4,M,A,4,T
0.77,0.122048695,0,0,0,STNWG,4,M,A,1,T
1.51,0.082546433,0,0,0,UTE,3,M,A,6,T
1.19,0.892793103,0,0,0,COUPE,3,M,A,4,T
1.23,0.948868112,0,0,0,SEDAN,2,M,A,2,T
1.42,0.322436588,0,0,0,HBACK,1,F,A,2,T
2.89,0.261080713,0,0,0,TRUCK,2,M,A,4,T
2.2,0.804521523,0,0,0,STNWG,3,F,A,4,T
2.31,0.074952016,0,0,0,SEDAN,2,F,A,4,T
1.19,0.163917421,0,0,0,HBACK,3,F,A,3,T
2.02,0.578008098,0,0,0,HBACK,1,M,A,2,T
3.3,0.887985331,0,0,0,STNWG,2,F,A,2,T
1.13,0.230349312,0,0,0,SEDAN,3,M,A,3,T
0.79,0.134147269,0,0,0,SEDAN,4,F,A,2,T
1.3,0.189529658,0,0,0,SEDAN,3,M,A,5,T
1.4,0.822925286,0,0,0,SEDAN,3,F,A,4,T
2.04,0.348244626,0,0,0,SEDAN,1,F,A,4,T
5.31,0.094383158,0,0,0,STNWG,1,M,A,2,T
0.75,0.255867738,0,0,0,HBACK,3,F,A,3,T
1.34,0.135249385,0,0,0,HBACK,3,F,A,2,T
0.31,0.983086504,0,0,0,SEDAN,4,F,A,4,T
2.08,0.34668742,0,0,0,PANVN,2,M,A,3,T
0.38,0.228982837,0,0,0,HBACK,4,M,A,5,T
4.59,0.35134977,0,0,0,STNWG,2,M,A,1,T
1.62,0.571772908,0,0,0,SEDAN,2,F,A,2,T
3.16,0.444353601,0,0,0,STNWG,3,F,A,2,T
1.6,0.111719893,0,0,0,HBACK,1,F,A,4,T
2.45,0.656996105,0,0,0,HBACK,1,M,A,6,T
0.38,0.8312565,0,0,0,SEDAN,4,F,A,6,T
0.85,0.221564629,0,0,0,HBACK,4,F,A,1,T
2.55,0.93775309,0,0,0,STNWG,3,F,A,1,T
2.13,0.938340004,0,0,0,HBACK,1,F,A,1,T
2.85,0.879120686,0,0,0,STNWG,1,M,A,5,T
